lat,lng,label
37.78372,-122.27728,Alameda
34.10603,-118.13437,Alhambra
33.1292,-96.65334,Allen
40.37595,-111.81472,American Fork
33.81903,-117.88868,Anaheim
33.82483,-117.9585,Anaheim
33.85933,-117.79148,Anaheim Hills
34.14532,-118.03124,Arcadia
32.6782,-97.12294,Arlington
35.12729,-120.59796,Arroyo Grande
35.49698,-120.6844,Atascadero
38.90133,-121.07483,Auburn
30.29219,-97.74169,Austin
30.40499,-97.67414,Austin
30.30434,-97.71564,Austin
30.23866,-97.78861,Austin
33.45937,-112.34041,Avondale
34.11765,-117.90734,Azusa
35.29633,-119.02855,Bakersfield (Panama Ln.)
35.35451,-119.05794,Bakersfield (Stockdale Hwy)
34.06767,-117.97349,Baldwin Park
34.85006,-117.08238,Barstow
37.96115,-121.74774,Brentwood
33.84731,-118.0281,Buena Park
34.18497,-118.31607,Burbank
33.9214,-116.80362,Cabazon
34.21722,-119.05295,Camarillo
34.19492,-118.60635,Canoga Park
33.12509,-117.32465,Carlsbad
32.98171,-117.07757,Carmel Mountain
39.10902,-119.77493,Carson Valley
32.88018,-111.68225,Casa Grande
30.52461,-97.82056,Cedar Park
40.92237,-111.8895,Centerville
33.88714,-118.1021,Cerritos
33.30639,-111.89176,Chandler (Chandler & Price)
33.2812,-111.79024,Chandler (Germann & Gilbert)
33.3204,-111.96413,Chandler (Ray Rd.)
39.72393,-121.8068,Chico
33.9974,-117.71853,Chino
32.62049,-116.96204,Chula Vista
33.99033,-117.91538,City Of Industry
34.02749,-117.83467,City Of Industry (Grand & Valley)
36.83692,-119.70056,Clovis
33.88166,-117.61349,Corona (Auto Center Dr.)
33.84403,-117.53647,Corona (Ontario Ave. & I-15)
33.64369,-117.92289,Costa Mesa
33.68773,-117.9199,Costa Mesa
34.10491,-117.87307,Covina
33.99165,-118.44626,Culver City
32.92522,-96.77061,Dallas
32.85997,-96.76943,Dallas
32.95705,-96.82097,Dallas (Addison)
32.92404,-96.83873,Dallas (Midway)
37.68821,-122.47202,Daly City
37.66603,-122.46904,Daly City
38.54097,-121.73722,Davis
33.22515,-97.17135,Denton
33.67905,-111.97676,Desert Ridge
34.0005,-117.84346,Diamond Bar
33.93609,-118.12421,Downey
40.52883,-111.88928,Draper
32.8194,-116.96199,El Cajon
32.77146,-115.55267,El Centro
33.92387,-118.39582,El Segundo
38.42411,-121.3915,Elk Grove
33.04729,-117.28499,Encinitas
33.11518,-117.1019,Escondido
38.25727,-122.0647,Fairfield
38.64672,-121.11442,Folsom
34.07498,-117.43523,Fontana
33.68158,-117.66941,Foothill Ranch
32.7514,-97.35867,Fort Worth
32.899,-97.3223,Fort Worth
32.68031,-97.39506,Fort Worth (Hulen)
32.80709,-97.42463,Fort Worth (Lake Worth)
37.50421,-121.97399,Fremont
36.70482,-119.77024,Fresno (2nd Street)
36.79612,-119.78992,Fresno (Blackstone & Ashlan)
36.85229,-119.7904,Fresno (Blackstone & Nees)
36.8085,-119.88316,Fresno (Shaw)
33.1018,-96.80456,Frisco
33.86023,-117.92398,Fullerton
33.76643,-117.97211,Garden Grove
33.8732,-118.30729,Gardena
32.95409,-96.61745,Garland
33.30588,-111.74348,Gilbert
37.0238,-121.56419,Gilroy
34.1456,-118.25545,Glendale (Brand & Broadway)
34.14868,-118.22735,Glendale (Harvey & Holly)
34.11673,-117.82941,Glendora
